filename,audio_only_prediction,video_only_prediction,audio_video_prediction
sonst_0039-0585,Heute Minden uns gewinnt.,Vielen Danke schön.,Der zwein: Seid all!
sonst_0045-0141,Sie sehen doch immer alt.,Das ist ungefähr im Händerk-Anutzt.,Sie hier doch immer also immer also.
sonst_0050-0151,Vielen Dank.,"Vielen Danken wir das hinten,  Isz du nenn",Vielen wir so.
sonst_0069-0157,"""Er wurde, da haben wir.""",Und somitkt dann sind nicht mehr.,"""Er würde, sonkurs."""
sonst_0101-0174,Wir erfangen wir uns von den Leuten.,Das ist die Kontakens tun.,"""Ich verkirgend nicht, gegen so."""
sonst_0141-0199,Auch setzen Sie nicht gären.,(Applaus),Ich versetzen so einsetzen Swer.
sonst_0162-0210,All wir ja soll ständig.,Vielleicht auch einige Steckt.,Weil wir hier von Ständendig.
sonst_0182-0229,Der Hohrändean.,Was nun hatten wir nicht mehr?,Die passt toten wir alle mal?
sonst_0269-0295,So eine mohl.,(Applaus) (Musik),So eine meit einfach.
sorgen_0015-1331,Das ist der Verglantan.,(Applaus),Das ist der Verglantung.
sorgen_0000-1312,Hier sauen Sie schon -- zauschnitt.,Welmand ruhig) Hoch.,Bitte Bürd an diesen Kappel.
sorgen_0025-0178,So soll so sorgen wir nicht.,Es ist ungefähr vorhin.,So Sorgen wir für mehr.
sorgen_0026-0180,wissen mir graf dreichharg.,(Applaus),bis ein bisschen mehr Kraftreihen.
sorgen_0049-0202,"""Ich darfanter schon, dass irgendwas.""",Denn Dank brübchen von uns allendlich änder,"""Ich dargen, dass ich dafür singen."""
sorgen_0071-0237,Wir müssen sorgen haben.,Das sind die Dollar!,Wir müssen sorgen haben.
sorgen_0101-0272,So sieht man eine Labha.,Das sind auch einen Kondakt verlesen.,So sieht sorgen meine Damdlele.
sorgen_0106-0284,"""Ja, es bin nicht.""",(Applaus),Ja?
sorgen_0118-0298,"""Sie ist ganz egal.""""""",Es sind der Leute?,"""Da hat dafür sorgen, dass es nicht sagen."""
sorgen_0140-0321,"""Das ist drahre, das ist.""",(Applaus),"""Vielerft, vielen."""
sowie_0046-0328,"""Es ist so schön, dieen Dank beginnen.""","""Wied ihr so gut machen, können ich hier hier angebächen.""","""Schön beginnen."""""""
sowie_0056-0363,So eine Auswinung.,Hab mich die anderen uni in die Auto an einer Grauen.,So kann man nicht?
sowie_0080-0404,Dann Ziegen zu wie die Fliegen.,"""Was kann Sie auch nicht vorher, können ich auch die Fühlen kann.""",Dann nun.
sowie_0098-0449,So einfach wieder zugetr.,Was ist ungefähr im Hoch.,So funktioniert so wieder zugehört.
sowie_0095-0442,Bürte haben mit den Augen.,So hat einfach an den anderen.,Bürte Abend haben uns mit den Augen.
sowie_0139-1530,Das ist konstrutive Arbeit.,(Applaus),Wir sind konstaktive Arbeit.
sowie_0225-0708,Sie sind die Gogendozial.,"""B. Batterien, nachten Blicken, L",Ihr im Gogen Sozial.
sowie_0304-0870,(Applaus),Vielen Dank.,(Applaus)
sowie_0265-0790,Das ist so wie den collig.,Das ist ungefährsränder gerade.,Das ist so wie im collig.
sozialen_0003-0903,Das ist soziale geschalen.,Benau das nur nicht nacheinander füreinander ein bisschen allen.,Das ist soziale geretzen.
sowie_0316-0897,Das ist ein Verlegen schäft verlegen.,"""Bitte schön, gern geschehen.""",Pried ist Kollegeschäfte.
sozialen_0010-0913,So unserem Ocalen sind sozial.,(Applaus),Unser soll es solchen dem Acalen.
sozialen_0014-0931,"""Genauen Sie sich, werden?""",Der rede ich nicht reden.,Doch auch immer ist man sehr werden.
sozialen_0045-0132,Das ist im sozialen Belohnen.,Wir haben trotzdem einen paar Brachbar.,Das nehmen sozialen Garals.
sozialen_0046-0135,"""Genaut das, das ist sozialen Ein Ein.""",(Applaus),Das sind in den sozialen Einein.
sozialen_0055-0145,Vielleicht ist die Arbeit.,Diesen Dank von uns von ein Haarentan.,Vielleicht sozialen Arbeit.
sozialen_0070-0160,Auch das Jahre fol.,(Applaus),Auch dort die Jahre.
sozialen_0091-0176,So muss man sozialen Aufgrauf.,Vielen Danke Menschen nach Rot gehen.,Hier Moll hat man uns sozialen Aufbrucht.
sozialen_0093-0185,Der Komglung ist sozial.,Das ist der Kondzunden vortragen.,Das hat die Kond des sozialen Woche.
sozialen_0122-0198,"""Die machon und Asien ein Umfelt.""",Vielen Dank.,Sorum ein sozialen Umfeld.
spdfraktion_0001-0952,Eine Mädchen.,Wir gingen die Hoche Roch.,Eine ist mir die Eirgendwoll.
spdfraktion_0010-0961,"""Wieden, so normal.""",(Applaus),"""Wier, so normal."""
spdfraktion_0026-0105,Port Zit.,(Applaus),Was ist unbruch!
spdfraktion_0016-0971,Füro ist die Diskus-Adu.,Das machen niemanden: Uchendlich noch Rot.,Füro ist bewegt mit Lotenbes.
spdfraktion_0018-0975,Hier ist die Jean.,(Applaus),Hier ist die Jean.
spdfraktion_0033-0112,Es ist die Komktionen.,Jetzt sehen wir grüberig?,Er ist den Faktion.
spdfraktion_0079-0662,Das ist die Defaktion.,(Applaus),Das ist die Defaktion.
spdfraktion_0079-0660,Das ist ein einfach nicht.,Wer ist ein grundser Hebood.,Das sind land fortschein einfach.
spdfraktion_0127-0176,"""Er, eine Weite Meiturk; eine weiter.""",(Applaus),Der Weite in eine weiter.
spdfraktion_0145-0195,Oder ist die Dise.,"""Das ist ganz gute schön, oder?""",Oder ist bin hier zu.
sprechen_0052-0236,Worgenssprechend gesprechen.,Hoh Spiezen.,Worgen sprechen.
sprechen_0071-0253,Man kann man darauf zu sprechen.,Vielen Dank.,Wir haben man darauf zu sprechen.
sprechen_0095-0276,"""Klau, dahin ist.""",(Applaus),"""Das ist auch einige, wir calsch regoist aber."""
sprechen_0161-0343,Das geht mich auch.,(Applaus) (Musik),Das geht drauf!
sprechen_0152-0334,Das sprechen.,"""Das sind nicht nur Menschen, indem Menschen sich seiten.""",Das ist einfachs zu sprechen.
sprechen_0176-0360,Denaubisch sprechen Sie das?,(Applaus),Wenau!
sprechen_0197-0388,Das macht also die Stud.,Vielen Dank.,Was macht sie hier?
sprechen_0215-0404,Ihr dürdsprechen heute.,(Applaus),Ihr dürdsprechen heute.
sprechen_0276-0488,Zu sprechen kommen.,Wochte schön?,Zu sprechen kommen.
sprechen_0221-0409,Das sprechen.,Da sprechen sind wir auch sprechen.,Wir erfielprechen.
spricht_0067-0256,Das ist der Ergegen sprünglich.,Das ist die Or-Brosung im Zehmlichen H,Das ist der Ergehung sprucht.
spricht_0102-0302,Vielleicht ist ein Kollegen.,(Applaus),Vielleicht.
spricht_0162-0363,Der eines sprich.,Danke schön!,Der eine Spiel vorläuft.
spricht_0133-0341,So eine Randanter.,Habangen Sie das begrüßen.,Sie hat hier gewet.
spricht_0194-0404,Der dritten Danke Schulnung Kollegen.,(Applaus) (Musik),Der sind eine Rechtnung Kollegen.
spricht_0212-0429,Das hat in einem entsprechend.,Lenken Sie an der Prücen?,Das überlegten nach entsprechende.
spricht_0226-0458,Das ist ungefähr im Thema.,(Applaus),(Applaus)
spricht_0230-0470,"""(Englisch) """"Was nicht rechter!""""""",(Applaus),(Applaus)
spricht_0262-0503,Das ist der Drückus.,Vielen Dank.,Das war die Frage gehärt.
staatsminister_0018-0826,Das ist ein interessantes Thema.,(Applaus),Das ist ein interessantes Thema.
spricht_0276-0522,Als nächstes Stopper.,Lasste schön?,Als nächste Stefer.
staatsminister_0042-0126,Stark ist] Verstarben.,Da war der Verstande Gründe.,Stat-Sminister.
staatsminister_0075-0143,State Minister.,(Applaus),Sie war der Statzimme.
staatsminister_0095-0164,Doch uns ministin.,(Applaus),Doch uns nicht?
staatsminister_0106-0170,(Roboterstimme) Hallo allerseits!,Vielen Dank.,(Roboterstimme) Hallo allerseits!
staatsminister_0150-0195,Der letzter Minista.,Vielen Dank ruhig) Vielene ich ihn beteilen,Der Ministag.
staatsminister_0200-0226,Der Härzminister.,(Applaus),Auche Staatst von Windestab.
staatsminister_0224-0253,Ihr schauen Sie sie morgen.,"""Ich bin auch einigem Beruf.""""""",Während es mir: Sal's der Lorde.
staatsminister_0230-0259,(Applaus) Das ist der.,(Applaus),(Lachen) Das ist?
stadt_0002-1061,Das ist ungefähr.,(Applaus),Das ist restos.
staatsminister_0224-0255,Und tat ich nicht da.,Welen Sie immer noch einmal?,Und nicht minist er.
stadt_0009-1066,Danke schön Fanntfrankur.,Der entscheht für ein Zies.,Man sind der Stadt von Rank gefrankurt.
stadt_0043-0150,Das sind hier und ich.,(Applaus) (Musik),Das sind hier in Hob!
stadt_0037-0133,Das ist ganz gut.,Das ist in der Schhefing.,Das war die Stadt von dieser Stadt.
stadt_0097-0178,Das gibt es die Stadt drumken.,Vielen Danken die Hoch hoch.,Gebibte ist die Stadt drugen.
stadt_0111-0189,"""Sch, da stand in der Stadt oder auf.""",Was macht man hier?,Das nehmen der Stadt oder aufge.
stadt_0192-0282,Das ist ein der Stattwiestbar.,Vielen Dank.,Das ist ein der Stattwiebha.
stadt_0246-0331,Die Nach hat sie sehr begrauen.,Vielen Dank.,Die Nach hat sie sehr stark los.
stadt_0213-0305,So rechdian ist das Stadt drankur.,"""Das ist der Standfunder, die standen wirklich mit Ro",So wird die Stadt Frankurd von die Stadt Frankur
stadt_0294-0359,Sozialle Statt.,(Applaus),Sozialle Statt.
statt_0021-0790,Das war der Stadt?,Hom dott das Herz setzen.,Und statt ihr ein?
statt_0076-0218,Aber Statt einige.,Hoh habe ich schon nicht ändern.,Aber statt einigem.
statt_0102-0240,Leben sind diese Stattfresung.,Im Leben geschätzte Noch.,Leben sind statt sie zurück.
statt_0134-0272,Sangan Statistiken.,(Applaus) (Musik),Sanen wir Statistiken.
statt_0149-0288,So eine Stadt stattflut.,Vielen Dank.,Auch im Stattflos.
statt_0139-0795,Aber anstatt etwas gut.,(Applaus),Aber anstatt etwas.
statt_0154-0294,Wir würden nicht immer nur.,Was bedroht es im Drinkululen lepole,"""Dann würden noch nicht immer nuriert."""""""
statt_0163-0300,Viele Mehrzählt ein dredlich.,(Applaus),Viele Mehrstellt andot.
statt_0176-0315,Nicht nur etwas stark.,Vielen Dank rundt renneiden.,Das ist nicht nur der Stadt.
statt_0181-0321,Ihr könnt man damen und Herren.,Was ist toten uns?,Ihr könnten damen und Herren.
stehen_0036-0395,"""Dazu, wir stehen über.""",Also stehen die Gals durch den anderenst.,"""Also, wir stehen aufvoll um."""
stehen_0048-0425,Zumit habe ich nicht.,"""Ah, ob man das Tänderk hietter, ob man H",Zum einensondoch der.
stehen_0055-0448,Dasstehen hintergrund.,Das ist keine Lohel.,Wir stehen hinter gehen hinter.
stehen_0064-0470,Das ist ungefähr nicht so.,"""Das ist nur evolution, dass nunnen.""",Und die Grund ständig.
stehen_0118-0581,Hier stehen die Brenn.,"""Kliegen Sie in diesem Spiel, die lebder.""",Hier stehen die Bremp.
stehen_0118-0583,Wir sind um den Strehen stehen.,Diesen Dank.,Wir sind um strehken stehen.
stehen_0127-0607,Womoperstehen wir nicht stehen.,(Applaus) Hohl.,Brugend stehen.
stehen_0162-0697,Das passiert nicht gut.,Was hoboterbar.,Das Internet leht dar?
stehen_0171-0720,Wir stehen des Erdän.,"""Was verstehen aber nicht, dass ich hier verstehen.""",Wir stehen desstehen deshalb.
steht_0021-1984,Doch am Band steht.,Also hmm...,Das war manchmal Band steht.
stehen_0205-0792,Sgesamt stehen wir sind nicht stehen.,Bitte schönen not hoch?,Und stehen Sie sind die Gleichen.
steht_0024-0359,Das ist also so.,Das ist ungefähr.,Das ist außergetrauster.
steht_0085-0497,Das ist in die Lösung.,Lasser schön Sie auch nicht mehr genau?,Das ist in der Streht auch wenn.
steht_0092-0514,Das ist der erstehl.,(Applaus),"""Das heißt, die haben die Epfagen."""
steht_0117-0595,"""Dokaen, das steht zu -Winter.""",Vielen Dank.,So kann dreht stehen reden.
steht_0112-0579,"""Das ist drück rehyr, weil.""",Briedel nach druhen] leskanet.,"""Das ist der Drüsgestellt, gesteht."""
steht_0129-0619,Ehnder eines rechtschlablich.,"""Klaren Sie gernlich, die Techten.""",Ender alles rechtstatlichen.
steht_0145-0661,Das sind Städte.,Das ist der Leute?,Oder stehen an.
steht_0134-0633,Dat tatsächlich städ.,(Applaus),Dat tatsächlich stächlich steht.
stellen_0026-0608,Michte Stelle.,(Applaus),Mitte Stelle.
steht_0182-0752,Der Hol steht drin.,Diese Bunständerung Ziesen Zeiten.,Der letzten Woch steht drinn.
stellen_0033-0627,Denk dass durchgestellt ist.,Das war der Leute?,Die Antwort regelgestellte schnell.
stellen_0040-0644,Aber stellen Sie sich auf.,Habür geht man nicht mehr?,Aber stellente sich auch.
stellen_0041-0653,"Driegendwanzimme, Sie bitte.",Vielen Dank.,Deswegen Sie hier.
stellen_0056-0753,Auch im Stellen soll.,Wollen Dank.,Auch soll soll.
stellen_0049-0685,Das sind sellen stellen.,Was ist der Stellen von uns ständig für ständig?,Wir sind sich gestellen.
stellen_0088-0867,All laut!,(Applaus),All tolleine.
stellen_0088-0860,"""Man stehen Sie nicht mehr.""""""",Was mache ich also?,Man hat mer stellen sie nicht.
stellen_0089-0879,"""Sie singt sich ein neuen erschaffen.""""""",Diesen Dank ist schließtfot -- das neglef,Wir sind sich neu stelle geschaffen.
stellen_0091-0944,Ich stellen sich neu mit euch stellen.,"""So kommt nur grugieren, Geschülen wo Ro",Ich nune ich neu stellen.
stelle_0073-0782,"""""""Wieuße!""""""",(Applaus),Wiewing!
stelle_0030-0592,(Lachen) Hey.,(Applaus),(Lachen) (Musik)
stelle_0061-0747,Die Kühe sind hungrig und berichtet.,Das ist der Bruch.,So kann man nicht berichtet.
stelle_0087-0836,Ich frage dieser Stelle doch.,(Applaus),Ich frage dieser Stelle doch.
stelle_0074-0793,Einmal keine Stelle gehört.,Das ist eine erstelle Rocher gemacht.,Keine keine Stelle Übert.
stelle_0098-0921,An wird an Selle er so.,Denauen kennen die Stellen nicht.,An dieser Stelle hat dieser Stelle hat recht.
stelle_0133-1038,Das ist an der Stelle richtig.,Vielen Dank.,Das ist an der Stelle richtig.
stelle_0123-1005,Eine Stelle für.,Vielen Dank.,Eine Stelle für.
stelle_0142-1075,In dieser Steller.,Herz von der Stelle nicht nicht ändert.,In ist dieser Stelle.
stelle_0144-1092,Man wird an dieser Stelle Sa.,Vielen Dank.,Hier gehen an dieser Verstellte Fahrk.
stellt_0000-1091,Der ganze gilt eine Ub.,Kenden die Hände hoch-Adell.,Der ganze steht eine Uhnt eine Un.
stellt_0050-0163,Irgendwass die Frage.,Was ist diese Winute Minuten.,Ihrpasst die Frage.
stellt_0002-1097,Wie stellt man die Welt.,Wir haben die Stecktbeasselleh.,Wie stellt man sich?
stellt_0017-1116,PB: Und stellen?,Und nen wir uns von Leute änderen.,B. Führungsstellt.
stellt_0051-0164,Stellt man fest?,Wel dabei immer nicht.,Stellt man fest?
stellt_0141-0240,Etwas beschäftigen.,(Applaus),Etwas beschäftigen.
stellt_0086-0191,Das war rüfst dann Stellt.,"""Wenn du ein Unterhin, die Lösunge Lunden können.""",Das war rüfst dannd!
stellt_0151-0255,Das war der Stellt ist.,Welmit will ich gestängen?,Das war der Stellt ist.
stellt_0151-0253,Gehehr jetzt stelle.,Was ist der Stelle gemacht?,Das jetzt stellen die Setz.
stimmen_0042-0151,Dener?,Was meine Rass gehen?,Dener die DAb-Roding.
stellt_0160-0264,Fügung stellt.,Was nun hatten wir nicht von den Onritt?,Bügung stellen bis zw.
stimmen_0057-0164,Ihrgen die Stimmen des.,(Applaus),Ihrgen die Stimmen des.
stimmen_0062-0169,(Beifall),(Applaus),Also hmm...
stimmen_0057-0165,"""Sind nicht, den Stimmemin vor, von Schlid.""",(Applaus),"""Sind nicht, den Stimmemin vor, von Schlid."""
stimmen_0062-0170,Das stimmen der Stimmen der.,(Applaus),Das stimmen der Stimmen.
stimmen_0070-0194,All stehen allen Schlimme.,(Applaus),All stehen allen Schlimme.
stimmen_0086-0204,Das war der Stimme.,Das war nun die Gleuber.,Das war nicht stimme.
stimmen_0083-0203,B. Priegegen die Stimmen.,(Applaus),B. Priegegen die Stimmen.
stimmen_0161-0268,"""Das sehen die Stimmem von den Sch.""",(Applaus),"""Scher schön, wie riecht."""
stimmen_0128-0233,Gegen die Stimmen der Fall.,Das sind rede ich schlimpfehl.,Gegen die Stimmen der Fall.
stunde_0004-1056,Sie war ein Stundees.,Das funktioniert nicht härkrei.,Alle Stunde in einem Ungelen.
stunde_0010-1061,Ein sind der Stunde in der Unt.,(Lachen),Man sind der Stunde in der Uhren.
stunde_0049-0176,Ein der Stunde.,Sie sind die Studenten hier nicht.,Eine Stunde.
stunde_0035-0158,Sie ist die Stunde des Sparen.,(Applaus),Hier ist die Stunde des Barner.
stunde_0113-0214,Bille Stunde.,(Applaus),Bille Stunde.
stunde_0114-0215,Der sind die Stunde durch die Fall.,(Applaus),Der sind die Stunde durch die Fall.
stunde_0114-0216,"""Und dann sagte, diese aktudiehlst.""",Ich habe also nicht nur im Schulkanschult.,"""Und napzu diesenkursstud, den Abend"
stunde_0150-0265,Auch-Sex.,(Applaus),Sex-Tugt zwanz.
stunde_0115-0218,"""Schönther die """"Smerfehlsung.""",(Applaus),"""Schönther die """"Smerfegd""""."""
stunde_0134-0243,Das ist mein 18.,(Applaus) (Musik),Und das ist neu ein grünen.
tagesordnungspunkt_0001-1140,Das hat mich gesagt: Hall.,(Applaus),Das hat munk gesagt.
tagesordnungspunkt_0007-1143,Der Tage Tag ist: Nahr.,(Englisch) Hoche oder Blut.,Der Tage Tag ist: Notungspunkt.
tagesordnungspunkt_0026-0169,Tages Tages Tag.,(Applaus),Tages Tages Tag.
tagesordnungspunkt_0011-1145,Der Tag ist ob: Der Spries.,Vielen Dank.,Der Tag ist die Tag.
tagesordnungspunkt_0057-0195,Das ist mit 18.,(Applaus),Das ist mit 18.
tagesordnungspunkt_0027-0171,Das kommt es zu.,Liemand rupft Rächen.,(Lachen) Das kommt in.
tagesordnungspunkt_0099-0806,"""Achön, Punkt, Punkt?""",(Applaus),"""Nat schön, Punkten, Punkt es."""
tagesordnungspunkt_0264-0400,Due lualian dieses tradit.,(Applaus),Die sind qualianigt besitz.
tagesordnungspunkt_0269-0410,Das kannstell nicht nur fest.,(Applaus),Das kann dann nicht nur viel.
tagesordnungspunkt_0278-0421,Warum Moch'en.,(Applaus),Warum Moch'en.
teil_0002-1450,Das ist ein Kalt.,(Applaus),Das ist ein Teilen.
teil_0007-1476,Wir müssen in dieser.,Ich bin diesen Umsate.,Wir müssen in dieser.
teil_0011-1482,Ein Teil im Teil.,(Applaus),Ein Teil Teiliny.
teil_0015-1485,"""Ist sie geteilt, weil es.""",(Applaus),Das sind gleich bei ihrem.
teil_0153-0031,Weile Chefseitung.,"""Allt ihr ein kleinem Kopf, lechtlich in Bromm",Als ich einiges Problem?
teil_0142-0009,Woßtes toten: Balloß.,Was meinem Hoboblebrasen.,Woßt Tag -- Gebott Ralt.
teil_0176-0075,Man macht man das Teil noch andere.,Denn die Lass.,Manchmal das zum Teil noch andere.
teil_0185-0094,Das sind nichts Teil.,Vielen Dank.,Das sind nichts Teil.
teil_0191-0114,(Lachen) Setter.,Vielen Dank.,(Lachen) Seta.
teil_0195-0127,An diesem Falld schon geland!,Sie sind nicht mehr genangegen.,An diesem Teild schon geland!
thema_0028-0755,AufAuch ein Thema eingehen.,(Applaus),AufAuch ein Thema einige.
thema_0026-0744,Aus gibt ausprobomachurg.,"""Das ist auch ein Moment, in dem Moment.""",Aus muss auspruch zu Armen.
thema_0040-0803,Ein Thema ein Thema ein Gegen.,Jetzt nune ich ihner.,Ein Thema ein Thema einige.
thema_0048-0845,Wachhaltigkeit greitigkeit.,Das leide Jahr mit diesem Spielsers.,Nachhaltigkeit beim Lande Stadt.
thema_0051-0872,Aus ist ein Thema angesprochen.,"""Schone sind nicht leißen, sprochen.""",Aus ist ein Thema angesprochen.
thema_0057-0913,Der Moll ist das Thema gurser.,Vielen Dank.,Das freiße wir das Thema: Schulse.
thema_0086-0977,Dieses Thema dieseme er nichts.,"""Das ist einige, das macht in diesem Klik.""",Dieses Thema Systeme er nichts.
thema_0091-1005,Hier kann ich das Thema.,"""Tier, ich bin noch?""",Das war andere das Thema.
thema_0096-1027,Michtige Thema.,Was meinen Dank.,Michtiges Thema.
thema_0098-1033,Wir sind diesem Thema.,(Applaus),Wir sind diesem Thema.
themen_0007-0869,Sondern wir das zusammen.,Und nun hatten wir die Lekunden.,Sondern das wir das zusammen?
themen_0007-0864,"""Wier Themen, macher.""","""Entschädigen, lasst.""","""Wieren, wie ruft."""
themen_0027-0113,Das ist diese Tie.,Was machen Kategan.,Das ist diese The.
themen_0033-0117,So sind diese Dinge?,Das ist z.,Wer sind als Lingel Ausspaul.
themen_0048-0136,Das sind recht beim Crede Zeit.,Was ist ein interessantes Thema.,Das sind krechte Zeit war.
themen_0049-0142,"Zehen, Er sieht der.",Es gibt man die Hrobchen.,Wennen Thema?
themen_0085-0171,Auch sel haben alle Sache.,Hier sind die Werge aber seitet.,Wir haben alle Sachen.
themen_0055-0155,Der Kommeten mit den resen.,Was spreche nicht beend!,Diese Komand wegt man regt.
themen_0092-0180,Tenksindsthemen auch.,(Applaus),Zemen auf.
themen_0093-0189,Das Thema.,(Applaus) Wol.,"Das Thema """"Huem"""""
tragen_0016-0905,Zu tragen.,(Applaus),Zu tragen.
tragen_0010-0899,Das ist eine Frage vertritt.,(Applaus),Das ist eine Frage verantan.
tragen_0064-0155,Es ist der Frage getragen.,Vielen Dank.,Es hat moe.
tragen_0069-0160,Die Kreden hier.,(Applaus) Der schön.,Es wird der Situation nicht.
tragen_0069-0159,Welte schön sagen die Größ?,Lasser geht's in die Tulmers lassen.,Welte sind sagen: Zeußen.
tragen_0082-0177,"""So wohren Tagen wollen, die Häulen.""","""Schond es nicht, lechter Roch an Lochen in",Wir sind sorgen getragen wollen.
tragen_0147-0239,Vor möchte ich hier Tagen.,Das war der Eintantersiert ein Voran.,Sie sind hier tragen.
tragen_0151-0244,Das war der Frage.,(Applaus) Ich bin hoch.,Das tragen Person.
tragen_0148-0240,Das rechnung fragen müssen.,(Applaus) (Musikenden.,Das rechnung tragen müssen.
tragen_0157-0252,Nach einer Namen tragen natürlich.,Auch das an den Kontakenen?,Naben tag das Namen natürlich.
trotzdem_0012-0855,Das trotzdem trotzdem trotzdem?,Und nun hatten Sie im Lebens geht?,Und trotzdem trotzdem trotzdem bleibt.
trotzdem_0029-0115,Damitde sind trotzdem eigentlich.,Vielen Dank.,Und dann trotzdem trotzdem trotzdem.
trotzdem_0040-0124,Und trotzdem trotzdem trotzdem frei.,Das ist der Leben.,Und trotzdem tragt trotzdem die.
trotzdem_0069-0142,Also Moue sind trotzdem: Nacht.,Das ist echt von einem grintleffonkelen,Und trotzdem sind trotzdem nicht mehr.
trotzdem_0096-0159,Zudemit ist nicht mehr.,Er melde Menschen nicht mehr?,Zudem ist der Diche.
trotzdem_0146-0198,Das trotzdem trotzdem nicht mehr.,(Applaus),Das trotzdem trotzdem nicht gut.
trotzdem_0165-0217,Es sind trotzdem trotzdem nicht.,Das sind grobosamkeit leskreit.,Es sind trotzdem trotzdem.
trotzdem_0171-0224,"""Der Mähre sind es wohl, ist eben.""",Eine Wolken sind hoch in seiner Wohner.,"""Wergewohnen, es war eben."""
trotzdem_0188-0243,Das ist ungefähr im Mabrund.,Das ist die Leute nicht aus der Leben.,Und trotzdem sind nicht tott.
trotzdem_0223-0276,Das ist aber trotzdem wichtig.,(Applaus),Das ist aber trotzdem wichtig.
umsetzung_0029-0076,Das ist auch in der Umsetzung in Rent.,"""Ohgen Sie die Ober-Ber-Tiede, lih",Der Umsetzung in der Umsetzung in die Gesetz.
umsetzung_0091-0115,Der Umsetzung.,"Vielen Danke Menschen nicht open, wie Hekorsen können",Der Umsetzung.
umsetzung_0098-0121,Die Umsetzung genau.,"""Warum, oben Sie nunlos aus uns aus Ziemlich aus",Die Umsetzung genau.
umsetzung_0104-0127,B. Ahrend der Umsetzung.,(Applaus),Der Umsetzung.
umsetzung_0104-0130,"""Mitte warum, setzt so sie.""",Ich habe die Ob-Beit-Anline-Kolle On,"""Mitte warum setzt oder nicht."""""""
umsetzung_0118-0135,Ihre machen die Augen zeuen.,( hoch.,Jetzt setzt sich umsetzen sollte.
umsetzung_0118-0136,Was ist praktisch die Umsetz] passiert.,"""Ganzte schön, den Cum.""",Was praktisch ein Umsetzung passiert.
umsetzung_0118-0137,"""Es geht man nicht umsetzen, umsetzen.""","""Es geht man nicht um die Hestersion, wenn man leb",Das geht man nicht umsetzen.
umsetzung_0141-0142,Sie sind die Umsetzung ist.,(Applaus),Sie sind die Umsetzung ist.
umsetzung_0147-0146,Ein der Umsetzung.,"""Gand ihr darum hat man ändert.""",Ein der Umsetzung einer Zug.
union_0039-0733,Das ist um Jonition.,Also los!,Lehnlich!
union_0039-0740,Das ist übrigens in der Jachuellen.,"""Wir tun nicht nur in diesem Spielsländert, aber man tun mit",Das ist übrigens in der anderen.
union_0049-0143,Menschen ist Phane.,"""Es sind die Studium.""""""",Menschen wie Mill.
union_0076-0155,Penschmit ist Rohn.,Sie sind die Kondakulungen.,PB: Die Kontion.
union_0076-0169,PB: Dien Sicher.,(Applaus),PB: Und Jemusiker.
union_0077-0182,"""Ohopärchen, viel schön, die hier in Schickt.""",Benge engalten here ich in Deutschland here Tör,"""Ohopäische, warum ein Schickt."""
union_0078-0210,Hier Min aus.,(Applaus) (Musik),Hier Min aus.
union_0078-0219,"""Es ist schon schon.""""""",Vielen Dank.,"""Es ist schon, Jow."""
union_0149-0290,Denau.,Ich habe in Vorstand.,Denau.
union_0149-0256,"Der 23 ist diese.""",Nach seibieren ohne Mill.,Unser hat deint hat dein 70.
unserem_0031-0316,In unserem Grund.,(Applaus),In unserem Rundsam.
unserem_0057-0356,Wir in unserem Land.,B. genunt ohne uns lassen.,Die in unserem Land.
unserem_0078-0384,Nicht in unserer Mensch.,Vielen Dank.,Das ist nicht nur am Wintreg gere.
unserem_0088-0405,Unserem Programm wir einem Programm kommt.,Er tatt einen Kopf im Kopf im Kompf.,Unserem Programm wir einem Programm kommen.
unserem_0117-0450,Das in unserem Punktes.,Kenaute Menschen in die Polenzigens.,Was will unserem Grundes?
unserem_0134-0482,Sie sind mit unserem Inter.,Was ist die Bürut.,Sie sind mit unserem Inter.
unserem_0190-0602,Das ist in diesem Land.,Was ist diese Dinge?,Das ist diesem Land.
unserem_0139-1505,Das über unserem Land ist.,Willen wir uns am Ende an Ränden.,Der Zugan hat man: Ziesker.
unserem_0190-0604,Standard in unserem Landschaft.,Die Stellen Sie zusammenlichkeit: Nehr.,Stand in unserem Land humft.
unserem_0207-0618,Aber es unserem Kold.,Hochen Sie immer noch zu tun.,Auch nun die Glöcklich.
unseren_0010-1832,Geht in unserem Verein.,Vielen Dank.,Geht in unserem Verein.
unseren_0021-1301,Dank und unserem Respekt.,(Applaus),Danke schön!
unseren_0055-0345,Alle gucken uns mit unserem Hoch.,Lehren Sie hochschoch in die Hochschoch.,Alle an unseren Hoch.
unseren_0090-0392,Das ist unseren Dank.,(Applaus),Das ist unseren Dank.
unseren_0095-0408,D. Allverleitung.,(Applaus),B. Abereit unseren Teil.
unseren_0090-0394,Da Schluss auch bei uns von uns gericht.,Sie haben nicht genimmt.,Dam Schluss auch bei uns reicht.
unseren_0156-0482,Ersten ersten ersten.,Sie haben vor ein trittels.,Ersten ersten ersten.
unseren_0193-0539,Wir haben 18.,Was nun hatten wir schon im Mitten?,Wir haben unser den Beitrag.
unseren_0203-0558,Das ist ungefähr.,Vielen Dank.,Das ist mit unseren Fach.
unseren_0205-0563,Das ist ungefähr im Seam.,Was machen denn das?,Das war der Ziehizin.
